epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,181.294,0.65661,0.30406,1.00832,0.99547,0.9955,0.995,0.83635,0.73924,0.29951,1.02138,0.00133693,0.00133693,0.00133693
62,184.243,0.67358,0.3092,1.01174,0.99625,0.99031,0.995,0.82823,0.76549,0.33804,1.03886,0.00133143,0.00133143,0.00133143
63,187.193,0.65177,0.30645,1.00816,0.99696,0.9955,0.995,0.84387,0.69225,0.29275,0.98957,0.00132593,0.00132593,0.00132593
64,190.142,0.66437,0.3053,1.02511,0.99821,0.99515,0.995,0.8464,0.68792,0.30879,0.9927,0.00132043,0.00132043,0.00132043
65,193.084,0.65214,0.2957,1.01569,0.9987,0.99517,0.995,0.84403,0.7268,0.30174,1.01032,0.00131493,0.00131493,0.00131493
66,196.048,0.63698,0.29028,1.0145,0.99907,0.9955,0.995,0.83109,0.76031,0.30005,1.02835,0.00130943,0.00130943,0.00130943
67,199.001,0.65809,0.30216,1.00496,0.9983,0.9955,0.995,0.81825,0.76954,0.30507,1.03242,0.00130393,0.00130393,0.00130393
68,201.956,0.63936,0.29296,0.9951,0.99909,1,0.995,0.85715,0.68208,0.29712,0.9842,0.00129843,0.00129843,0.00129843
69,204.928,0.66566,0.30507,1.02659,0.99869,0.99529,0.995,0.8433,0.7042,0.3113,1.00978,0.00129293,0.00129293,0.00129293
70,207.893,0.65298,0.29522,1.01808,0.99683,0.99964,0.995,0.84214,0.72507,0.2914,1.002,0.00128742,0.00128742,0.00128742
71,210.865,0.63109,0.28758,0.98937,0.99926,0.9955,0.995,0.84981,0.70383,0.29241,0.99094,0.00128192,0.00128192,0.00128192
72,213.825,0.64605,0.28894,1.01012,0.99942,0.9955,0.995,0.85552,0.67445,0.28112,0.98538,0.00127642,0.00127642,0.00127642
73,216.79,0.6411,0.29443,1.00829,0.99913,0.9955,0.995,0.8526,0.67771,0.30362,0.99455,0.00127092,0.00127092,0.00127092
74,219.774,0.62481,0.28878,0.99153,0.99819,0.9955,0.995,0.85142,0.65657,0.2833,0.98228,0.00126542,0.00126542,0.00126542
75,222.726,0.63586,0.28644,1.01049,0.99817,0.9955,0.995,0.85788,0.68393,0.28845,0.99718,0.00125992,0.00125992,0.00125992
76,225.701,0.63365,0.29287,1.00706,0.99754,0.99959,0.995,0.82899,0.75091,0.28922,1.01492,0.00125442,0.00125442,0.00125442
77,228.652,0.64357,0.2956,0.99646,0.98964,0.99952,0.99496,0.83717,0.73604,0.29789,1.01906,0.00124892,0.00124892,0.00124892
78,231.61,0.64167,0.29195,1.00066,0.99788,0.9955,0.995,0.83718,0.75131,0.29846,1.02953,0.00124342,0.00124342,0.00124342
79,234.572,0.63258,0.28674,0.99553,0.99765,0.99966,0.995,0.84283,0.74523,0.28591,1.0159,0.00123791,0.00123791,0.00123791
80,237.539,0.63747,0.29078,0.99948,0.99098,0.9897,0.99473,0.84823,0.70801,0.30118,1.01408,0.00123241,0.00123241,0.00123241
81,240.505,0.6333,0.2895,1.00046,0.99772,0.9955,0.995,0.84689,0.71148,0.28482,1.00896,0.00122691,0.00122691,0.00122691
82,243.466,0.61836,0.27044,0.98439,0.99482,0.99954,0.995,0.83814,0.73213,0.27984,1.02341,0.00122141,0.00122141,0.00122141
83,246.432,0.63263,0.27607,0.98673,0.99885,0.99579,0.995,0.83336,0.77507,0.28536,1.04196,0.00121591,0.00121591,0.00121591
84,249.393,0.62836,0.28054,1.00092,0.99879,0.99992,0.995,0.82015,0.8155,0.29261,1.06335,0.00121041,0.00121041,0.00121041
85,252.371,0.64091,0.27965,1.00297,0.99854,0.9955,0.995,0.86163,0.63193,0.27867,0.97594,0.00120491,0.00120491,0.00120491
86,255.328,0.63882,0.28809,1.0099,0.99897,0.9955,0.995,0.84546,0.70623,0.28475,0.99817,0.00119941,0.00119941,0.00119941
87,258.302,0.62226,0.28166,0.98674,0.99819,0.9955,0.995,0.84254,0.70957,0.28447,1.01048,0.00119391,0.00119391,0.00119391
88,261.274,0.61029,0.27479,0.97145,0.99923,0.9955,0.995,0.8602,0.67569,0.26929,0.98869,0.0011884,0.0011884,0.0011884
89,264.257,0.62031,0.27855,0.99167,0.99937,0.9955,0.995,0.84877,0.6977,0.28505,1.00347,0.0011829,0.0011829,0.0011829
90,267.21,0.62422,0.27795,0.98918,0.99879,0.9955,0.995,0.85452,0.66438,0.27471,0.98305,0.0011774,0.0011774,0.0011774
91,270.17,0.63035,0.28771,0.98656,0.99939,0.99129,0.995,0.85225,0.67331,0.28591,0.99794,0.0011719,0.0011719,0.0011719
92,273.147,0.60533,0.27678,0.97958,0.99912,0.9955,0.995,0.83639,0.76171,0.30653,1.025,0.0011664,0.0011664,0.0011664
93,276.122,0.63249,0.27984,1.00353,0.99792,0.9955,0.995,0.85218,0.68159,0.28675,0.99235,0.0011609,0.0011609,0.0011609
94,279.127,0.60667,0.26695,0.97156,0.9988,0.98297,0.995,0.84377,0.68361,0.29141,0.9895,0.0011554,0.0011554,0.0011554
95,282.09,0.61611,0.2754,0.98988,0.99931,0.9955,0.995,0.83775,0.72358,0.28761,1.01154,0.0011499,0.0011499,0.0011499
96,285.069,0.61439,0.27697,0.97893,0.99968,0.99587,0.995,0.83251,0.77228,0.2887,1.03405,0.0011444,0.0011444,0.0011444
97,288.025,0.63387,0.27916,0.99451,0.99729,0.99099,0.995,0.84692,0.71459,0.28856,1.01393,0.00113889,0.00113889,0.00113889
98,290.995,0.60596,0.28388,0.99084,0.99392,0.9955,0.995,0.84409,0.68787,0.28936,0.99915,0.00113339,0.00113339,0.00113339
99,293.96,0.61032,0.2705,0.98326,0.99926,0.9955,0.995,0.86416,0.66326,0.2737,0.98709,0.00112789,0.00112789,0.00112789
