Epoch 56: Loss = 89.3522, NME = 0.0056, Pixel Error = 79.7007, Val Loss = 226.1903, Val NME = 0.0092, Val Pixel Error = 137.0259
Epoch 57: Loss = 93.7076, NME = 0.0058, Pixel Error = 88.1129, Val Loss = 104.1411, Val NME = 0.0057, Val Pixel Error = 83.9766
Epoch 58: Loss = 86.4628, NME = 0.0053, Pixel Error = 78.8509, Val Loss = 144.8048, Val NME = 0.0072, Val Pixel Error = 105.2768
Epoch 59: Loss = 82.6262, NME = 0.0054, Pixel Error = 79.5773, Val Loss = 114.0250, Val NME = 0.0061, Val Pixel Error = 94.8861
Epoch 60: Loss = 59.5103, NME = 0.0045, Pixel Error = 65.3200, Val Loss = 98.2278, Val NME = 0.0056, Val Pixel Error = 86.6394
Epoch 61: Loss = 61.3908, NME = 0.0047, Pixel Error = 67.0499, Val Loss = 87.2962, Val NME = 0.0051, Val Pixel Error = 77.8511
Epoch 62: Loss = 74.4208, NME = 0.0052, Pixel Error = 74.2850, Val Loss = 145.8068, Val NME = 0.0073, Val Pixel Error = 113.2342
Epoch 63: Loss = 72.0339, NME = 0.0050, Pixel Error = 72.0247, Val Loss = 124.2736, Val NME = 0.0066, Val Pixel Error = 103.3837
Epoch 64: Loss = 60.0920, NME = 0.0046, Pixel Error = 64.3041, Val Loss = 134.1049, Val NME = 0.0071, Val Pixel Error = 105.1675
Epoch 65: Loss = 59.1441, NME = 0.0045, Pixel Error = 65.9370, Val Loss = 84.7488, Val NME = 0.0051, Val Pixel Error = 78.4665
Epoch 66: Loss = 44.7189, NME = 0.0039, Pixel Error = 56.0767, Val Loss = 100.1870, Val NME = 0.0059, Val Pixel Error = 85.1869
Epoch 67: Loss = 52.0542, NME = 0.0042, Pixel Error = 59.1770, Val Loss = 94.8520, Val NME = 0.0057, Val Pixel Error = 88.4552
Epoch 68: Loss = 55.6457, NME = 0.0044, Pixel Error = 62.1023, Val Loss = 123.0730, Val NME = 0.0067, Val Pixel Error = 99.5735
Epoch 69: Loss = 55.6998, NME = 0.0044, Pixel Error = 64.1252, Val Loss = 72.0263, Val NME = 0.0048, Val Pixel Error = 73.4394
Epoch 70: Loss = 44.6939, NME = 0.0040, Pixel Error = 57.4042, Val Loss = 78.7349, Val NME = 0.0050, Val Pixel Error = 71.8563
Epoch 71: Loss = 52.3596, NME = 0.0043, Pixel Error = 62.5128, Val Loss = 98.7354, Val NME = 0.0057, Val Pixel Error = 82.9303
Epoch 72: Loss = 57.4903, NME = 0.0045, Pixel Error = 63.7240, Val Loss = 135.8228, Val NME = 0.0069, Val Pixel Error = 100.1919
Epoch 73: Loss = 62.7101, NME = 0.0047, Pixel Error = 66.3643, Val Loss = 76.5687, Val NME = 0.0047, Val Pixel Error = 73.1971
Epoch 74: Loss = 56.9780, NME = 0.0045, Pixel Error = 65.4643, Val Loss = 90.4677, Val NME = 0.0053, Val Pixel Error = 76.5966
Epoch 75: Loss = 61.2885, NME = 0.0047, Pixel Error = 69.2824, Val Loss = 88.4911, Val NME = 0.0054, Val Pixel Error = 78.4769
Epoch 76: Loss = 59.5328, NME = 0.0046, Pixel Error = 67.0609, Val Loss = 135.8591, Val NME = 0.0070, Val Pixel Error = 102.6930
Epoch 77: Loss = 51.5692, NME = 0.0043, Pixel Error = 61.6032, Val Loss = 70.2489, Val NME = 0.0044, Val Pixel Error = 65.6716
