epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1022.38,0.60153,0.29663,0.87731,0.9984,1,0.995,0.8113,0.80209,0.34262,0.94569,0.00120491,0.00120491,0.00120491
86,1032.17,0.63222,0.30913,0.88122,0.99871,1,0.995,0.8096,0.80316,0.33668,0.94193,0.00119941,0.00119941,0.00119941
87,1044.41,0.62363,0.30618,0.87893,0.99834,1,0.995,0.84068,0.72472,0.34229,0.91795,0.00119391,0.00119391,0.00119391
88,1056.8,0.62049,0.30177,0.87993,1,0.94042,0.97828,0.83098,0.75218,0.4986,0.93784,0.0011884,0.0011884,0.0011884
89,1067.08,0.60634,0.29682,0.87318,0.99889,1,0.995,0.82768,0.82695,0.33772,0.9628,0.0011829,0.0011829,0.0011829
90,1078.9,0.59737,0.29415,0.88241,0.99885,1,0.995,0.84423,0.70142,0.31895,0.91378,0.0011774,0.0011774,0.0011774
91,1089.83,0.60429,0.29411,0.87685,0.99816,1,0.995,0.85622,0.6882,0.32609,0.92042,0.0011719,0.0011719,0.0011719
92,1102.03,0.59056,0.2932,0.87203,0.99856,1,0.995,0.82239,0.79286,0.34118,0.95097,0.0011664,0.0011664,0.0011664
93,1114.33,0.57704,0.28785,0.86323,0.99818,1,0.995,0.81126,0.82934,0.35296,0.95949,0.0011609,0.0011609,0.0011609
94,1123.74,0.564,0.28293,0.85931,0.99678,1,0.995,0.83982,0.73234,0.32989,0.91902,0.0011554,0.0011554,0.0011554
95,1135.52,0.58737,0.28245,0.86552,0.99799,0.96429,0.99391,0.81284,0.75327,0.36815,0.93277,0.0011499,0.0011499,0.0011499
96,1147.17,0.58387,0.28343,0.87375,0.98407,0.95371,0.98902,0.83119,0.73064,0.4569,0.94795,0.0011444,0.0011444,0.0011444
97,1156.83,0.58332,0.28124,0.86705,0.99504,0.99533,0.995,0.83518,0.77334,0.34785,0.92326,0.00113889,0.00113889,0.00113889
98,1168.9,0.58563,0.28475,0.87265,0.99945,1,0.995,0.79887,0.85816,0.35564,0.96004,0.00113339,0.00113339,0.00113339
99,1178.98,0.5667,0.27676,0.8589,0.98385,0.96429,0.98611,0.79656,0.88389,0.44128,0.98542,0.00112789,0.00112789,0.00112789
100,1190.42,0.56143,0.2779,0.86232,0.99874,1,0.995,0.83379,0.76167,0.31789,0.92897,0.00112239,0.00112239,0.00112239
